title,contributor_name,code_link,mentors,organization,technologies,topics,project_details,url
Wiki Education Dashboard: Refactoring and upgrading React,AmineH,https://gist.github.com/Aminehassou/043ac4861cd0728c8ea53fe7fc3d45f5,Sage Ross,Wikimedia Foundation,"javascript, ruby on rails, react, ruby",web,"This proposal aims to improve the dashboard's performance and overall code-quality by making a variety of changes to the frontend codebase. this involves converting all React class components to functional components, replacing the remaining jquery code with vanilla JS code and updating to a newer version of React (React 18). This proposal will essentially modernize a large portion of the frontend codebase. Allowing for an easier developer and user experience.",https://summerofcode.withgoogle.com/programs/2023/projects/NfzyC1AJ
Flood Mobile,Amit Amrutiya,https://medium.com/@amitamrutiya2210,"jesec, Akshat Tripathi",CCExtractor Development,"flutter, dart",mobile development,"Flood is a monitoring service for various torrent clients. It's a Node.js service that communicates with torrent client and provides a user-friendly mobile UI for administration. It has great features such as the ability to use magnet/torrent files to download torrents, support for RSS feeds, the ability to select torrent files to start downloads from any location on your device (e.g., File Explorer, WhatsApp), notification action support, and many more. My primary goals would be to, make the Flood-Mobile app scalable through state management migration, create a testable app, implement a feature for changing languages, develop a customizable user interface, improve the app's power management, enhance notification support, add various sorting functionalities for torrents, and implement the CICD tool fastlane in the app.",https://summerofcode.withgoogle.com/programs/2023/projects/iblkHo3k
TensorLy: Multi-backend Tensor API Libraries,Amitesh Vatsa,https://docs.google.com/document/d/1IVkpVEWFVziwcYmpp-x68Y0YHV4QIUKPZQ0FA79Hrew/edit?usp=sharing,"Deeptendu, James Keane, Haris Mahmood",Ivy (lets-unify.ai),"python, machine learning, ivy, TensorLy","machine learning, Tensor Operations","The aim of this project is to use IVY as a framework and build that into TensorLy project so that TensorLy would be usable with any of the frameworks supported by IVY. This will allow TensorLy users to switch backends via IVY’s backend handler rather than their own native backend handler. Set of deliverables are as follows: Implementing the desired functions in tensorly/backend/ivy_backend.py which will enable users to now use IVY as a framework in TensorLy. Implementing TensorLy’s abstraction layer (functionalities like Tensor Decomposition, Tensor Regression and Tucker Tensors) by using IVY as the framework. Implementing new functions into Ivy’s Functional API which exists in TensorLy’s API but currently not present in IVY’s Functional API (for example: context, index_update, ndim, sign, logsumexp, Conj). Creating demos that demonstrate how the functionalities can be used while building projects using TensorLy when IVY’s backend handler is being used. Running tests and implementing benchmarks showcasing the difference in runtime performance. Documenting the benchmark evaluations in a notebook for further research. Extending features with suggestions from the community.",https://summerofcode.withgoogle.com/programs/2023/projects/kvfFWRyF
animint2 Documentation and Bug Fix Project,ampurr,https://gsoc.ampurr.com/,"Toby Dylan Hocking, Faizan Uddin Fahad Khan",R project for statistical computing,"javascript, r","data visualization, documentation, interactive, grammar of graphics","The animint2 Documentation and Bug Fix Project will make the animint2 reference documentation more accessible, fix errors in the documentation, and reduce the number of bugs by at least one.",https://summerofcode.withgoogle.com/programs/2023/projects/6dubWFIS
Key Path inference and diagnostic improvements,Amritpan Kaur,https://github.com/apple/swift/pull/67297,Pavel Yaskevich,Swift,"c++, swift, compilers","compilers, diagnostics, Swift, type inference","SE-0249 introduced key path expressions as functions to the Swift language, to allow Swift users to write a more concise \Root.value in place of the more verbose { $0[keyPath: \.] } wherever key paths are used as literal expressions. During compilation, the key path expression root and value are sequentially type-checked to resolve a key path type from this context. However, the current design of how the type-checker evaluates key path component types, their relationships to each other, and key path capabilities results in incongruous compiler errors for otherwise valid Swift code. This proposal briefly explores how key path expressions are type-checked today and suggests how this type-checker process can be made more robust, dependable, and faster.",https://summerofcode.withgoogle.com/programs/2023/projects/w2oMo4BC
UI tool for fetching online content,Amulya Paritosh,https://amulyaparitosh.github.io/Google-Summer-of-Code-2023-Work-Blog-HTML/,"wandererfan, Chris Hennes, sliptonic",FreeCAD,"python, qt, pyqt, sqllite, PySide, Qt Designer","application, library management system, add-on, online repository, component management","A library management add-on for managing Different online-offline FreeCAD components is a utility application for FreeCAD which allows an easy and structured management of components/models available online or offline and to easily be inserted into the FreeCAD document. Its basic functionalities is to facilitate individual component from the online repository to be able to browsed, downloaded, and extended by already available local components. For a Library management system, a robust repository of data and an local storage structure is must. This is important as user need to brows through the all the existing models which are the part of the repository and download only selective models. A structured local storage will not only also allow users to easily add their own models to the local library management system, but also to the online repository open to public. For maintaining the metadata of these, a well defined storage structure is required. All this need to have an proper interface to be operable. The interface for the above will be developed as both a Graphical Interface and module for python scripting.",https://summerofcode.withgoogle.com/programs/2023/projects/h7rrw0s0
COVID-19 data explorer,Ana Laura,https://github.com/Na1au/COVID19_data_explorer,"Marc Gonzalez Capdevila, Karine Pistili Rodrigues",Liquid Galaxy project,"flutter, KML","mobile app, data visualization, graphics","The project is a data visualizer about COVID 19, it aims to analyze the data obtained about the virus through an API, calculate its evolution using an AI and show possible contamination and mutation statistics, thus showing the past data and possible future data in a Liquid Galaxy cluster. Thus, it will be possible for the user to filter the data about the virus and view its trajectory around the world based on its evolution through filters chosen by him, such as country, date and variant.",https://summerofcode.withgoogle.com/programs/2023/projects/UTsePWCM
Developing Large-Scale Calculation Management Tools for CalcUS,Anchal Malani,https://gist.github.com/anchalm03/75bf9c8e288b2478f116f4ffee906f4c,"Raphaël Robidas, Claude Legault",Open Chemistry,"python, postgresql, javascript, django, html, jquery",web,"CalcUS aims to democratize access to computational chemistry by providing a user-friendly web interface to simplify running and analyzing quantum mechanical calculations. These calculations allow the researchers to better understand the properties of molecules or the underlying mechanisms of chemical reactions. Quantum chemistry projects can involve performing calculations on a large number of structures (10-100) with different parameters(1-10). Currently, these calculations have to be launched individuallyand sequentially. This project aims to add the feature to make this process seamless and highly automated, from launching the calculations to reporting the results. This is a proposal to implement; ● Variation of the calculation web UI, aimed specifically at batch calculations with variable parameters ● Design and implement the workflow to handle these batch calculations ● Implement results gathering and reporting in a convenient format ● Write relevant unit and/or integration tests.",https://summerofcode.withgoogle.com/programs/2023/projects/7GV3rZJU
Eclipse 4diac IDE User Interface Quality Improvement Through Automated Testing,Andrea Zoitl,https://wiki.eclipse.org/Eclipse_4diacWiki/Development/User_Interface_Quality_Improvement,"Bianca Wiesmayr, MikeOberlehner",Eclipse Foundation,"java, RCPTT, SWTBot",UI Testing,"Often open source projects have only a few contributors. These try to incorporate all new ideas and improvements. However, this leaves little time for testing, which means that the software quality suffers. Since Eclipse 4diac is also still tested manually, which on the one hand is inefficient and on the other hand is often not performed completely due to time constraints. For this reason, an automated test set for the 4diac IDE user interface would be a good improvement.",https://summerofcode.withgoogle.com/programs/2023/projects/LWRyOju1
Android Auto,Andrei Shkrob,https://gist.github.com/AndrewShkrob/9da5959fd9fe89aff472ce00ca77cf4e,Roman Tsisyk,Organic Maps,"java, c++","android, Android Auto",This project aims to integrate Android Auto functionality into Organic Maps to provide an alternative to proprietary mapping solutions and make it more accessible and convenient for drivers.,https://summerofcode.withgoogle.com/programs/2023/projects/HMGczlm7
New Summary Statistics API for Java 8 streams,ani5rudh,https://gist.github.com/ani5rudh/4d82f3498f20c9c1a6d6e429cffaab3b,"Gilles, Alex Herbert, Bruno P. Kinoshita",Apache Software Foundation,java,"functional programming, statistics, Object Oriented Design, Streams","My goal is to design an updated summary statistics API for use with Java 8 streams based on the summary statistic implementations in the Commons Math stat.descriptive package. The project aims to be a library of commons statistics functions in line with the latest developments in the Java language, in particular Java's functional programming syntax. At the end of the project I plan to provide a lightweight and reusable API that utilizes Java streams to offer commonly used statistical functions, with an emphasis on minimizing external dependencies and avoiding redundancy.",https://summerofcode.withgoogle.com/programs/2023/projects/lEdvtw7o
Implementation of the pgr_KSP and add all the overloads.,Aniket Agarwal,https://github.com/pgRouting/pgrouting/wiki/GSoC-2023-Implement-pgr_KSP-and-Add-All-Overloads,"Ashish-Kumar, Shobhit Chaurasia",OSGeo (Open Source Geospatial Foundation),"c, postgresql, c++, pgRouting","routing, rdbms, graph","The implementation of a pgr_ksp() function that can calculate K shortest paths for various scenarios is essential for many applications. This project aims to implement a pgr_ksp function that can handle four more different scenarios that are one-to-many, many-to-one, many-to-many, and combinations of (source, target). By implementing such a function, we can efficiently and accurately find multiple shortest paths for different scenarios and improve the performance of various applications that rely on this functionality.",https://summerofcode.withgoogle.com/programs/2023/projects/8JpdTHk8
Develop Performance Farm Benchmarks and Website (2023),Anil rundla,https://lord2anil.github.io/gsoc23-report/,"Ilaria Battiston, sfrost",PostgreSQL,"python, postgresql, django, html, css, js",web,"The Performance Farm project aims to emphasize Postgresql performance as it evolves by conducting benchmarks and posting the results on a webpage. The project has three sections: A client script responsible for getting the most recent Postgres version, compiling and installing it, and then executing PgBench to collect results in JSON format. An API that accepts results, parses them, and saves them in a database while providing endpoints from which they may be retrieved. A website that parses and collects API responses and shows them as tables, graphs, and textual information. The proposed project aims to enhance the project by adding features such as generating and managing EXPLAIN query plans, adding custom queries to the benchmark suite, and integrating profiling tools into the performance farm.",https://summerofcode.withgoogle.com/programs/2023/projects/W2YKA7jL
OSAVC : Technical Documentation,Aniruddha Thakre,https://uccross.github.io/open-source-autonomous-vehicle-controller/,"Carlos Espinosa, Aaron Hunter",UC OSPO,"Technical writing, Markdown Language, Website",documentation,"The OSAVC documentation project for GSoC 2023 aims to create comprehensive documentation for a new user of the OSAVC controller. The project will involve working closely with one of the mentors and incrementally documenting the various procedures starting from a fresh OSAVC controller to a fully-implemented application for a vehicle. To address the global supply chain issues, a new board on a networked device will be set up that can program the OSAVC remotely. The project will begin with testing each sensor and interface and move on to more complex applications, with documentation created at each step.",https://summerofcode.withgoogle.com/programs/2023/projects/xAHWdWNV
Casting Local Media,Ankit Kiran,https://docs.google.com/document/d/e/2PACX-1vSYoYA92xwisADrxlRHePm8KkDOCnNebXkOcW53s0PZ-v8xPdsXWZ1pbgBfM-nMNYqZP2K3uPK3ra6g/pub,"Pallavi, Muyao Xu, Angelo Tadres",Chromium,"javascript, c++, GTest","web, Media Casting","The primary objective of this project is to enhance the local media casting experience within Chromium by implementing a range of improvements. These enhancements include prompting casting initiation for new users through an In-product Help (IPH) pop up, refining the interaction between media playback and casting controls to avoid unnecessary consumption of resources, and fortifying the DIAL protocol's reliability through the introduction of custom timeout actions.",https://summerofcode.withgoogle.com/programs/2023/projects/ULtyGXXr
ExtractAPI while building,Ankur Saini,https://gist.github.com/Arsenic-ATG/65fa1d38d2677dc29d33191f47af66d4,Daniel Grumberg,LLVM Compiler Infrastructure,"llvm, c++, clang","compilers, development tools, libraries",This project aims to give LLVM-clang the ability to generate ExtractAPI symbol graph files as a side-effect of a regular compilation job. This can enable using the symbol graph format as a lightweight alternative to do code intelligence offline and outside of an interactive context.,https://summerofcode.withgoogle.com/programs/2023/projects/lAxUTgOM
Automated system for packaging freeware games with ScummVM,AnkushDutt,https://blogs.scummvm.org/ankushdutt/2023/08/27/final-submission/,"John Willis, Niv Baehr",ScummVM,"c++, bash","game, Game Packages, Downloader, ScummVM Bundler","This project aims to develop an automated system that simplifies the packaging of freeware games for various platforms (like google play, steam, etc.). This system includes predefined platform-specific rules to generate game packages. The resulting distributable is ready for uploading to different platforms, including Linux, Google Play, Apple App Store, Steam, and ForgeTV store. Users can then browse and download these game packages using the proposed ScummVM downloader GUI. Moreover, the system also includes a bundler script that bundles the game with ScummVM to create a standalone application for distribution.",https://summerofcode.withgoogle.com/programs/2023/projects/HzM31ka6
Inner Boundary Velocity Solver,Ansh_49,https://docs.google.com/document/d/1qXd7ps3rxMk0x2He3ZKlaWR8125VJ8rzbKXBb6m03hw/edit?usp=sharing,"Jack O'Brien, Andreas Flörs, Christian Vogl, Yuki Matsumura, Anirban Dutta",TARDIS RT Collaboration,"python, numpy, jupyter, pandas, Matplotlib, sklearn","simulation, visualisation, astrophysics, Estimation, MonteCarlo","TARDIS operates on a “photospheric” inner boundary approximation. A hard inner boundary in velocity is set from which radiative packets are emitted through the ejecta according to a black-body distribution at a given temperature. Currently, TARDIS can solve for the radiative and inner boundary temperatures as well as dilution factors given a static inner velocity boundary. The precise location of where this inner boundary velocity should be placed is not always obvious and there are a few methods by which one can intelligently select a location based on the properties of the plasma (which are constantly updating over each iteration). This project will aim to update the location of the inner boundary velocity based on a set of options for desired properties of the plasma at each iteration. The options include setting the inner boundary velocity according to a given optical depth over all frequencies (either Planck or Rossland mean opacities) or setting the inner boundary according to a desired value for the dilution factors. The project can be broken down into the following four deliverables: - Estimating the inner velocity value based on target values of optical depth and dilution factor - Integrate the estimation methods into TARDIS base - Write thorough test cases for all the above changes. - Make Jupyter notebooks and tutorials demonstrating the feature. -Thorough documentation of the changes. - Write a blog about the project.",https://summerofcode.withgoogle.com/programs/2023/projects/uyYkVw0V
Improving Performance API Code Health,Ansh_Mishra,https://docs.google.com/document/d/1xyOVGx6Evx4R9qj4J1ssrWT635Uo1kkpgLu-HNifJKk/edit#heading=h.x9snb54sjlu9,"Sreeja Kamishetty, Yoav Weiss",Chromium,"c++, html, css, js","web, browser","The primary objective of this project is to enhance the code quality, strengthen the test framework, and bolster the reliability of Chromium's Performance API implementation. The Performance API, which encapsulates the Performance interface of the High Resolution Time standard, plays a pivotal role in enabling web developers to accurately identify and troubleshoot bottlenecks within their web applications. To ensure uniformity in functionality and compliance with current standards across diverse web browsers, the web-platform-test features a comprehensive suite of tests. Over the course of this project, in close collaboration with experienced mentors, the focus will be on harmonizing Chromium's Performance API implementation with the web standards. This endeavour involves meticulous analysis, debugging, and the resolution of issues and failures reported by the web-platform-tests. This comprehensive undertaking will culminate in a secure and more reliable browser ensuring enhanced user experience. These optimizations shall align with Chromium's core principles of speed, security, stability, and simplicity.",https://summerofcode.withgoogle.com/programs/2023/projects/CDKfzWvq
Support importing Excel and JSON files,Anshuman Maurya,https://github.com/centerofci/mathesar/issues/3216,"Dominykas Mostauskis, Anish Surendra Umale",Mathesar,"python, django, sql, sqlalchemy","databases, web","Mathesar is an open-source, web-based database management tool that is easy to use, flexible, and scalable. It provides users a simple, intuitive interface for managing their databases, including creating and editing tables, defining relationships between tables, and querying data. Mathesar UI allows users to import data from CSV and TSV files. We aim to expand this functionality into importing JSON and Excel files too. The project will allow users to import JSON and Excel files and create a table from the imported data. The user can preview the table, remove/rename columns, change data types, and more. If the imported file is not in a suitable format for creating a table, we will develop algorithms to convert the file into a suitable format. If the algorithm doesn’t work, the system will refuse to import the file and give the user a readable error.",https://summerofcode.withgoogle.com/programs/2023/projects/A3gI5pYL
Graph Neural Networks for End-to-End Particle Identification with the CMS Experiment,Anthony Song,https://medium.com/@anthony_iytrzx/test-title-gsoc-2023-92732bff3e57,"ML4SCI, Bhim Bam, Colin Crovella, Ruchi Chudasama",Machine Learning for Science (ML4SCI),"python, pytorch",graph neural networks,"This project focuses on developing and evaluating end-to-end Graph Neural Network (GNN) models for low-momentum tau identification in the context of particle physics experiments, such as the Compact Muon Solenoid (CMS) at CERN. The project aims to improve tau identification performance by leveraging GNNs' ability to capture complex relationships between jet constituents. Additionally, this project will test and benchmark GNN inference on Graphics Processing Units (GPUs) to assess the potential for real-time analysis and integration with existing systems. Key tasks include literature review, data preprocessing, graph construction, model selection, implementation, training, evaluation, optimization, GPU inference testing, benchmarking, and documentation. The expected outcomes of the project are a trained end-to-end GNN model tailored for low-momentum tau identification, a comprehensive evaluation and optimization of the model, and a thorough benchmark of GNN inference on GPUs.",https://summerofcode.withgoogle.com/programs/2023/projects/69elZR8R
Breaking the Thread Barrier: Boosting I/O Performance with io_uring and FS2,Antonio Jimenez,https://github.com/armanbilge/fs2-io_uring/pull/78,"armanbilge, Fred Honório, Christopher Davenport, Daniel Spiewak",Scala Center,"scala, Typelevel, Cats Effect, FS2, io_uring","functional programming, Asynchronous I/O, Thread Model Optimization","The current state of the asynchronous I/O on the JVM involves using separate selector threads to manage I/O events through system functions like epoll or kqueue. Although frameworks like Netty and NIO2 make this approach seem reasonable, the use of separate event loop threads is not without cost. In high-RPS services, these threads can compete for CPU time with worker threads executing application tasks, leading to resource contention and potentially significant performance loss. In contrast, Cats Effect offers a different threading model, integrating I/O and application tasks into a single runtime system, reducing contention an enhancing overall efficiency. io_uring, the key component of this project, offers two major advantages: (1) it enables all supported syscalls to become asynchronous from the application’s perspective, allowing for multiple syscalls to be initiated in parallel without blocking the calling thread, and (2) it uses a pair of ring buffers for syscall submission and completion events that are shared between the application and the kernel, dramatically reducing the overhead of calling from userspace into kernelspace. When integrated with Cats Effect, io_uring can significantly improve the efficiency of syscalls, requiring fewer calls into kernelspace during the worker loop. This proposal brings two key innovations together: a new threading model and a new I/O API. By integrating Cats Effects and FS2 with io_uring, we aim to develop an alternative solution to minimize the inefficiencies found in the traditional model, offering a more efficient and performant solution for I/O-intensive applications.",https://summerofcode.withgoogle.com/programs/2023/projects/RDa4p6HQ
WebAssembly Support for clang-repl,Anubhab Ghosh,https://gist.github.com/argentite/c0852d3e178c4770a429f14291e83475,"Vassil Vassilev, Alexander Penev",LLVM Compiler Infrastructure,"javascript, llvm, c++, jupyter, wasm","web, compiler, JIT, Linker, Interpreter","Clang includes libInterpreter, a framework for incrementally JIT compiling and executing C++ code. The goal of the project is to port this to WebAssembly and run inside a Javascript engine in a browser. This would involve modification to libInterpreter to run in WASM and produce WASM JIT code. These separate WASM modules need to be linked together and executed in the JS engine. If possible, the final goal is to integrate this with JupyterLite, a version of Jupyter that runs WASM kernels entirely on the client side.",https://summerofcode.withgoogle.com/programs/2023/projects/X0cFgJkY
Perf Data Converter,Anup Sharma,https://gist.github.com/TwilightTechie/94f6fc54413e7d88b751615ff280af17,"Ian, Namhyung Kim",The Linux Foundation,"c, json, kernel, perf, Parser, Converter, perfdata, serializer","linux, kernel, low-level, Perf, Embedded C","Linux profiling tool a.k.a perf is the home for analyzing the entire system. It provides the support to analyze the stacks end to end leading from hardware events such as instructions executed, cache-misses suffered, or branches mispredicted to software events such as CPU-clock, page-faults, task-CPU etc. The linux perf tools help us to point out exactly where the specific event is leading to performance downturn in kernel, BPF or userspace application. The increasing demand for consolidation due to the bloom in fields of AI and the cloud technology requires increased efforts to provide best performance for novel devices. As software systems become increasingly complex, identifying and resolving performance bottlenecks becomes more challenging. In an effort to address this issue, this project seeks to enhance the support for performance data analysis in various formats commonly used by software developers. Specifically, we aim to enable the export of performance data to formats such as Firefox's Gecko profile format and Chrome's trace event format, making it easier for developers to analyze and optimize their code for different platforms and environments. By doing so, we hope to improve the overall performance and user experience of software applications.",https://summerofcode.withgoogle.com/programs/2023/projects/OTLxQ6xy
Improving And Expanding Functionalities Of SymPy's Control Module,Anurag Surendra Bhat,https://github.com/sympy/sympy/wiki/GSoC-2023-:-Improving-and-Expanding-the-Functionalities-of-SymPy's-Control-Module-by-Anurag-Bhat,"Smit Lunagariya, Jason Moore, Nikhil Maan",SymPy,"python, sympy","Control Systems, Symoblic Mathematics","In this project, I aim to improve and expand the functionalities of the physics control module. This module was introduced to SymPy 2 years ago. The work done is commendable but has a good scope for improvement. There are many incomplete areas and there is a lot of potential for new implementations. I plan to learn the relevant theoretical aspects of control systems required to complete this project by referring to course textbooks and other CST packages available in the open literature. By the end of this summer SymPy will have a complete Control toolkit, so that it can match the functionalities of MATLAB and other popular software toolkits in this domain.",https://summerofcode.withgoogle.com/programs/2023/projects/1LZE1JYa
Integrate FreeType with alternative rendering engines,Anurag Thakur,https://docs.google.com/document/d/14me6L4HEMnjBVFwOCjaBayRjQym-WK_RQuOJt7A3pCY/edit?usp=sharing,Werner Lemberg,FreeType,"c, rust, markdown","Font, Font Rasterization","Investigate and implement alternative font renderers in FreeType, including: • font-rs: A font renderer developed by Raph Levien. A blogpost describes some of its features in more detail. It claims to be much faster than FreeType's anti-aliasing rendering module by using different data structures, SIMD optimizations etc. • font-go: Port of font-rs to the Go programming language, includes a fixed-point implementation that is allegedly 1.4 times faster. • fontdue: It is another rendering engine based on font-rs, and it claims to be even faster and is actively developed. Additional discussion can be found here. • Pathfinder: Another project inspired by font-rs is Pathfinder, which takes advantages of GPU rendering. The project involves continuing and eventually finalizing the GSoC 2022 contribution, including but not limited to improving build system support, adding SIMD optimizations to more processors, improving documentation etc",https://summerofcode.withgoogle.com/programs/2023/projects/vnrdFMIr
LPython : Implementing Symbolic Algorithms as a part of ASR,Anutosh Surendra Bhat,https://gist.github.com/anutosh491/9cdea54f937705ed17a1dd64c892948d,"Ondřej Čertík, czgdp1807",Python Software Foundation,"c, python, llvm, c++, sympy, SymEngine","compilers, symbolic mathematics","The idea here is to provide both runtime support (preferably using the SymEngine library to provide the computation, as it is fast and robust) and compile time support (in ASR) to implement Symbolic Algorithms in LPython. The runtime operation could use the SymEngine library for LLVM, C and C++ backends. For Python backend, we can simply use SymPy itself. The algorithms would be implemented in the ASR code, which would make them independent of any specific frontend. Any frontend that uses the ASR code could then make use of the symbolic algorithms without having to reimplement them. LPython, in this case, would not implement the symbolic algorithms themselves, but would instead parse the syntax used by the SymPy library, which already has a rich set of symbolic algorithms, and use the ASR representation of these expressions to perform various operations. This would allow LPython to have powerful symbolic manipulation capabilities without having to reinvent the wheel.",https://summerofcode.withgoogle.com/programs/2023/projects/KwNcukf5
Chrome System Audio Mirroring on macOS and Linux,Anže Lešnik,https://lesnik.cc/google-summer-of-code-2023-at-chromium/,"Stephen, mark a. foltz, Angelo Tadres",Chromium,"linux, c++, macos, ScreenCaptureKit","audio, casting","Casting is a feature of Chrome that allows a tab or a screen to be mirrored to a remote Chromecast-enabled device. Currently, both audio and video can be mirrored for any source from a Windows device, while audio mirroring is not supported on macOS and Linux when casting a screen. This project aims to bring casting to parity on all platforms. We will update the audio input capture for macOS and Linux with support for system audio capture, implement the new ScreenCaptureKit API available in macOS, and write unit tests. Support for casting to audio-only devices will also be enabled.",https://summerofcode.withgoogle.com/programs/2023/projects/xZOidcmN
LLDB kernel module improvement,AoK_Blast,https://wiki.freebsd.org/SummerOfCode2023Projects/LLDBKernelModuleImprovement,"Ed Maste, Li-Wen Hsu",The FreeBSD Project,"llvm, c++, FreeBSD Kernel Modue","kernel, operating system, compiler, Debugger","Problem statement: LLDB doesn't support module information in kernel space now. So in my proposal, I want to implement full kernel module support for kernel space. Method: To achieve this goal, I take kgdb as a reference and use the same method in in my project but use lldb as the backend (kld as the frontend). Deliverables: In brief, this project is to implement kernel module supply for lldb which the current lldb doesn't have. After this project, LLDB will support more kernel level debug information and thus facilitate kernel module development.",https://summerofcode.withgoogle.com/programs/2023/projects/Q8nngj1k
Project Properties Dialog,Arin Modi,https://medium.com/@arinmodi2306/work-product-google-summer-of-code-with-app-inventor-cf7471e16344,"Evan Patton, Vishwas Adiga",MIT App Inventor,"java, gwt",web,"Currently, the properties for the screen1 form contains a number of project project-wide properties such as App Name, Theme and many more. We want these properties separated from the component and maintained on a separate dialog on the designer view.",https://summerofcode.withgoogle.com/programs/2023/projects/njEu8xBZ
Honeyscanner: a vulnerability analysis tool for honeypots,Aristofanis Chionis,https://gist.github.com/aristofanischionis/a9d18cb0c8b801bbaf50b51a72fe9405,"Shreyas Srinivasa, Manolis, ryaben",The Honeynet Project,"python, bash, unix","cybersecurity, honeypots, Honeypot Fingerprinting, CyberSecurity Attacks, DoS attacks, Fuzzing Attacks, Exploiting libraries","A honeypot is a security resource that mimics a vulnerable system and is used to lure and trap cyber-attackers. Over the last decade, many open-source honeypots have been developed by the community as side projects without any funding or company behind them. This led to experimental implementations of honeypot ideas, that haven't been tested by security teams thoroughly. This project comes to solve this exact problem. Honeyscanner will be an open-source vulnerability scanner for honeypots. Equipped with a penetration testing strategy that starts from reconnaissance techniques to more advanced ones like exploiting bugs in libraries used by the honeypot, fuzzing and DoS attacks. The tool will be written in Python.",https://summerofcode.withgoogle.com/programs/2023/projects/6oyTxlUo
Add More Summarization Functions,Aritra Majumder,https://aritra8438.github.io/gsoc-final-blog/,"Brent Moran, Sean Colsen",Mathesar,"postgresql, javascript, django, sqlalchemy, svelte","databases, web, data, nonprofit, self-hosted","The Mathesar Data Explorer enables an action called “Summarize” that let a user view a summary of their data, which is in fact an aggregation of some column(s), grouped by some other column(s). Currently, the only possible aggregation functions are counting or listing. This proposal aims that at the end of GSoC '23 period, there will be more aggregation functions (Mean, Median, Sum, Min, Max) will be available to the user to transform the data.",https://summerofcode.withgoogle.com/programs/2023/projects/D9XvkQCN
MCnet/LHAPDF - Test Suite and Coverage for Parton Density Calculations,Arjun Taneja,https://gitlab.com/hepcedar/lhapdf/-/merge_requests?scope=all&state=all&author_username=ArjunBoi,agbuckley,CERN-HSF,"python, c++, git, fortran, unix, ci/cd, YAML","particle physics, Continuous Integration (CI), Continuous Deployment (CD)","The LHAPDF C++ library plays a crucial role in the Large Hadron Collider (LHC) programme by providing it with Parton Distribution Function (PDF) data for both experimental and theoretical calculations. The library's reliability and stability are essential to ensure that the information supplied to the LHC programme is accurate. To ensure that all aspects of the LHAPDF calculations are thoroughly tested, this project aims to implement continuous integration (CI) tests, in GitLab and Cron. These tests will be scalable and will run on a schedule to guarantee the stability of LHAPDF-established behaviours to a high degree of precision. Data from these tests will then be fed into a dashboard on the LHAPDF website, which will work to provide the developers with a bird’s-eye view of the library’s status and performance. This testing and visualisation is aimed at providing the necessary confidence when making new releases and analysing current metrics.",https://summerofcode.withgoogle.com/programs/2023/projects/v2AxsuIT
Dockerizing & Simplifying PyBaMM's Installation,ArjunVerma,https://pybamm.org/gsoc/2023/arjun-verma/,"Saransh Chopra, Ferran Brosa Planella",NumFOCUS,"github, git, docker, bash, ci, GitHub Actions","devops, ci, Dockerization","PyBaMM has a tedious installation process for development , which proves to be difficult for developers & researchers or anyone who wants to develop it. This project aims to simplify the installation process through Dockerization and make PyBaMM more accessible. In addition to that present Continuous Integration(CI) would also be modified in order to integrate dockerization with current workflow.",https://summerofcode.withgoogle.com/programs/2023/projects/vKlUTys3
Completing Vue.js Simulator: Integration and Transition to TypeScript,Arnab Das,https://blog.circuitverse.org/posts/arnab_das_gsoc_final_report/,"satviksr, Devjit Choudhury, Abhishek Zade",CircuitVerse.org,"javascript, ruby, typescript, rails, vue.js","web, Simulator, API Design, Digital logic circuit","This project focuses on finishing up development of Vue.js circuit simulator, alongside converting the existing JavaScript codebase to TypeScript, ensuring a more robust and maintainable platform. The transition to Vue.js and TypeScript will enhance the simulator's performance, stability, and scalability. Key aspects of the project include integrating the simulator with the main repository, setting up TypeScript, API integration and testing, implementing additional features, and refining the user experience.",https://summerofcode.withgoogle.com/programs/2023/projects/eg17qD6w
"Extracting Language and Runtime-Specific Strings in Go, Rust, and Beyond",Arnav Kharbanda,https://gist.github.com/Arker123/7e513d38cc13e57a43cb95ee6e4a3421,"Willi Ballenthin, Moritz, rxrd",FLARE,"python, go, rust","reverse engineering, malware analysis","The FLOSS: Language Specific Strings project aims to enhance the FLARE tool called FLOSS, which is used to deobfuscate protected strings found in malware. The proposed framework will extract language and runtime-specific strings from executables. The project will develop a language identification module, with initial focus on Go and Rust. We will research language string embeddings and create extractor code, leveraging existing knowledge and code to bootstrap this. The project will identify strings related to runtime and library code for targeted programming languages and extend standard output format to render the results. The successful completion of this project will make FLOSS more useful for security analysts and manifest its success as the default tool used for malware analysis.",https://summerofcode.withgoogle.com/programs/2023/projects/pANVOvV7
HPXIO - async and distributed I/O library for HPX,Arnav Negi,https://gist.github.com/Arnav-Negi/042cd197b5c4bb066b933f647035efdb,"Shreyas, akheir",Ste||ar group,"c++, hpc","optimization, parallel algorithms, application",As computation becomes faster I/O starts becoming more and more important. The goal of the project is to utilise HPX facilities such as components and actions and futures to create an I/O library for asynchronous and distributed I/O. The library will enable an interface which will allow the user to send asynchronous or synchronous I/O requests to a cluster of compute nodes. This will also speedup I/O using several nodes to perform I/O parallely.,https://summerofcode.withgoogle.com/programs/2023/projects/r66aQtl0
